Epoch,Train Loss,Test Loss,Train R^2,Test R^2
1,11072.9208984375,10593.9248046875,-25.217790603637695,-19.120397567749023
2,11072.90625,10593.9248046875,-25.217754364013672,-19.120397567749023
3,11072.91796875,10593.9248046875,-25.217784881591797,-19.120397567749023
4,11072.931640625,10593.9248046875,-25.217817306518555,-19.120397567749023
5,11072.9228515625,10593.9248046875,-25.217796325683594,-19.120397567749023
6,11072.939453125,10593.9248046875,-25.217838287353516,-19.120397567749023
7,11072.92578125,10593.9248046875,-25.217803955078125,-19.120397567749023
8,11072.9423828125,10593.9248046875,-25.217845916748047,-19.120397567749023
9,11072.9345703125,10593.9248046875,-25.217824935913086,-19.120397567749023
10,11072.9443359375,10593.9248046875,-25.21784782409668,-19.120397567749023
11,11072.916015625,10593.9248046875,-25.21778106689453,-19.120397567749023
12,11072.93359375,10593.9248046875,-25.217823028564453,-19.120397567749023
13,11072.9560546875,10593.9248046875,-25.217878341674805,-19.120397567749023
14,11072.9443359375,10593.9248046875,-25.217849731445312,-19.120397567749023
15,11072.9189453125,10593.9248046875,-25.21778678894043,-19.120397567749023
16,11072.9345703125,10593.9248046875,-25.217824935913086,-19.120397567749023
17,11072.9150390625,10593.9248046875,-25.217777252197266,-19.120397567749023
18,11072.9296875,10593.9248046875,-25.21781349182129,-19.120397567749023
19,11072.9384765625,10593.9248046875,-25.21783447265625,-19.120397567749023
20,11072.91015625,10593.9248046875,-25.21776580810547,-19.120397567749023
21,11072.92578125,10593.9248046875,-25.217803955078125,-19.120397567749023
22,11072.943359375,10593.9248046875,-25.21784782409668,-19.120397567749023
23,11072.9384765625,10593.9248046875,-25.21783447265625,-19.120397567749023
24,11072.9375,10593.9248046875,-25.217832565307617,-19.120397567749023
25,11072.9296875,10593.9248046875,-25.21781349182129,-19.120397567749023
26,11072.9423828125,10593.9248046875,-25.217845916748047,-19.120397567749023
27,11072.9091796875,10593.9248046875,-25.217763900756836,-19.120397567749023
28,11072.9306640625,10593.9248046875,-25.217817306518555,-19.120397567749023
29,11072.9228515625,10593.9248046875,-25.217798233032227,-19.120397567749023
30,11072.9375,10593.9248046875,-25.217832565307617,-19.120397567749023
31,11072.923828125,10593.9248046875,-25.21780014038086,-19.120397567749023
32,11072.9091796875,10593.9248046875,-25.217763900756836,-19.120397567749023
33,11072.92578125,10593.9248046875,-25.217803955078125,-19.120397567749023
34,11072.921875,10593.9248046875,-25.21779441833496,-19.120397567749023
35,11072.9306640625,10593.9248046875,-25.217817306518555,-19.120397567749023
36,11072.9306640625,10593.9248046875,-25.217817306518555,-19.120397567749023
37,11072.921875,10593.9248046875,-25.21779441833496,-19.120397567749023
38,11072.9052734375,10593.9248046875,-25.21775245666504,-19.120397567749023
39,11072.9169921875,10593.9248046875,-25.217782974243164,-19.120397567749023
40,11072.9248046875,10593.9248046875,-25.217802047729492,-19.120397567749023
41,11072.916015625,10593.9248046875,-25.21778106689453,-19.120397567749023
42,11072.9208984375,10593.9248046875,-25.217792510986328,-19.120397567749023
43,11072.91796875,10593.9248046875,-25.217784881591797,-19.120397567749023
44,11072.9208984375,10593.9248046875,-25.217790603637695,-19.120397567749023
45,11072.9306640625,10593.9248046875,-25.217817306518555,-19.120397567749023
46,11072.9228515625,10593.9248046875,-25.217798233032227,-19.120397567749023
47,11072.9287109375,10593.9248046875,-25.217811584472656,-19.120397567749023
48,11072.9150390625,10593.9248046875,-25.217777252197266,-19.120397567749023
49,11072.9384765625,10593.9248046875,-25.21783447265625,-19.120397567749023
50,11072.916015625,10593.9248046875,-25.2177791595459,-19.120397567749023
51,11072.9130859375,10593.9248046875,-25.2177734375,-19.120397567749023
52,11072.927734375,10593.9248046875,-25.21780776977539,-19.120397567749023
53,11072.9375,10593.9248046875,-25.217832565307617,-19.120397567749023
54,11072.9423828125,10593.9248046875,-25.217844009399414,-19.120397567749023
55,11072.9345703125,10593.9248046875,-25.217824935913086,-19.120397567749023
56,11072.9384765625,10593.9248046875,-25.21783447265625,-19.120397567749023
57,11072.92578125,10593.9248046875,-25.217803955078125,-19.120397567749023
58,11072.9345703125,10593.9248046875,-25.217824935913086,-19.120397567749023
59,11072.94140625,10593.9248046875,-25.21784210205078,-19.120397567749023
60,11072.9375,10593.9248046875,-25.217832565307617,-19.120397567749023
61,11072.9375,10593.9248046875,-25.217832565307617,-19.120397567749023
62,11072.92578125,10593.9248046875,-25.217803955078125,-19.120397567749023
63,11072.9208984375,10593.9248046875,-25.217790603637695,-19.120397567749023
64,11072.9326171875,10593.9248046875,-25.21782112121582,-19.120397567749023
65,11072.9189453125,10593.9248046875,-25.21778678894043,-19.120397567749023
66,11072.91796875,10593.9248046875,-25.217784881591797,-19.120397567749023
67,11072.9248046875,10593.9248046875,-25.217802047729492,-19.120397567749023
68,11072.9375,10593.9248046875,-25.217832565307617,-19.120397567749023
69,11072.923828125,10593.9248046875,-25.21780014038086,-19.120397567749023
70,11072.9453125,10593.9248046875,-25.217851638793945,-19.120397567749023
71,11072.9443359375,10593.9248046875,-25.217849731445312,-19.120397567749023
72,11072.93359375,10593.9248046875,-25.217823028564453,-19.120397567749023
73,11072.9287109375,10593.9248046875,-25.217811584472656,-19.120397567749023
74,11072.9375,10593.9248046875,-25.217832565307617,-19.120397567749023
75,11072.9248046875,10593.9248046875,-25.21780014038086,-19.120397567749023
76,11072.90625,10593.9248046875,-25.217754364013672,-19.120397567749023
77,11072.9326171875,10593.9248046875,-25.217819213867188,-19.120397567749023
78,11072.9208984375,10593.9248046875,-25.217790603637695,-19.120397567749023
79,11072.91015625,10593.9248046875,-25.21776580810547,-19.120397567749023
80,11072.931640625,10593.9248046875,-25.217817306518555,-19.120397567749023
81,11072.912109375,10593.9248046875,-25.217769622802734,-19.120397567749023
82,11072.923828125,10593.9248046875,-25.21780014038086,-19.120397567749023
83,11072.91796875,10593.9248046875,-25.217784881591797,-19.120397567749023
84,11072.927734375,10593.9248046875,-25.217809677124023,-19.120397567749023
85,11072.9052734375,10593.9248046875,-25.21775245666504,-19.120397567749023
86,11072.923828125,10593.9248046875,-25.21780014038086,-19.120397567749023
87,11072.9296875,10593.9248046875,-25.21781349182129,-19.120397567749023
