ABS_IDCOMP,ZAFRA,TCHPRED_2Meses,TCHPRED_4Meses,TCHPRED_6Meses,TCHPRED_8Meses,TCHPRED_10Meses
GT01-0010594-0301,24-25,129.84623391287667,131.01467895507812,114.80122218174566,127.0949193318685,126.05241153649565
GT01-0010056-0501,24-25,113.58080836704798,123.120361328125,138.2941258613188,127.2288324991862,120.7994830487683
GT01-0010539-0301,24-25,84.03502764020647,97.35685838971818,96.71820041080576,90.65380147298177,100.25096674725617
GT01-0010640-0104,24-25,113.70655495779855,130.05352783203125,129.45820218049062,127.2448760986328,117.62819174512684
GT01-0010056-0502,24-25,112.90182277134485,119.37938690185547,132.78394356066576,123.3701202392578,110.80962988891297
GT01-0010123-0205,24-25,103.68228258405412,112.40050833565849,117.9361494239915,112.06728973388671,97.26353133102792
GT01-0010122-0107,24-25,103.84527587890625,119.74718039376394,111.09720975201921,118.57254231770833,111.24172958937241
GT01-0010594-0901,24-25,113.31817953927175,115.21217782156808,107.53889985003596,112.60302937825521,112.27993451757087
GT01-0010123-0210,24-25,101.18575940813336,102.86013357979911,111.67012028542426,108.3844248453776,97.63057313826553
GT01-0010594-0501,24-25,102.31189182826449,124.54365975516183,110.52215130838665,120.80112813313802,123.63280015478368
GT01-0010640-0103,24-25,118.58504922049384,127.57613917759485,132.85919207944477,123.3237787882487,108.91293702901464
GT01-0010558-0401,24-25,121.22745840890067,120.24403272356307,108.41959865191109,109.66997528076172,112.45498241763214
GT01-0010558-0201,24-25,124.99110085623603,125.41115679059709,121.21114294815715,122.33309783935546,125.36613636972697
GT01-0010640-0203,24-25,118.82493591308592,129.90130506243025,132.19669212658144,130.1069788614909,114.39922981737354
GT01-0010651-0501,24-25,88.4276373726981,82.19573429652621,93.00755489518605,89.68302510579426,77.7126456423308
GT01-0010056-0601,24-25,107.66873604910714,93.99719674246651,113.6465244322841,81.99287770589193,98.83690543215549
GT01-0010651-0702,24-25,98.5202418736049,84.33485194614954,102.05958095176719,83.5884796142578,88.38201364556703
GT01-0010113-0306,24-25,92.50303867885044,103.10224914550781,105.28068985583158,105.27028096516926,104.3173340280564
GT01-0010056-0702,24-25,102.31087166922433,106.97999899727957,113.5315863203972,92.20003611246744,101.36162807119635
GT01-0010567-0104,24-25,115.21919686453683,114.3173392159598,116.82384760260032,121.90173136393229,103.36195143094703
GT01-0010558-1201,24-25,109.8871863228934,112.95812334333147,105.32365455999715,113.7550765991211,112.32592193250711
GT01-0010759-0201,24-25,99.59610421316964,98.62180001395089,113.6417956739976,120.1178726196289,105.40076698260582
GT01-0010594-0101,24-25,122.7374049595424,124.10492815290178,112.85258114982678,120.71066538492839,124.32524227174339
GT01-0010582-0903,24-25,88.49662017822266,82.84567042759485,95.68110401354286,102.14448496500651,97.05217231608106
GT01-0010640-0205,24-25,116.89560263497488,127.78189522879464,128.9058789115053,127.66907806396486,108.76566514982088
GT01-0010008-2801,24-25,124.4522923060826,124.41321781703402,129.69681377732093,117.52417551676433,121.74499274586661
GT01-0010114-0204,24-25,119.47371455601282,124.59775870186941,129.2721150413824,132.0451421101888,115.59284322638462
GT01-0010550-1101,24-25,84.12801143101282,84.563357761928,86.5363580338368,98.6168217976888,83.59876588994686
GT01-0010059-0502,24-25,105.94284057617188,117.06199210030692,129.99440539880638,112.93701731363933,107.18385559498861
GT01-0010505-1101,24-25,106.72915213448661,127.261599949428,120.88847275926317,113.86378835042318,123.34277846181608
GT01-0010001-0802,24-25,85.48718479701449,80.8352301461356,110.56243279507177,111.7990976969401,106.68951404897105
GT01-0010567-0501,24-25,114.36071341378349,115.54586465018136,115.30175133949712,114.83110809326172,104.6005691632415
GT01-0010113-0401,24-25,123.22110094342914,112.43579755510603,108.49015745593,124.08880564371745,124.22744256480085
GT01-0010797-0104,24-25,99.34855324881417,103.81055123465401,107.55284227479359,109.79692840576172,108.86576044642099
GT01-0010031-0101,24-25,111.92748042515346,120.74422345842632,131.01152740016613,120.07491912841796,120.088680799453
GT01-0010113-0303,24-25,121.39724840436662,118.97517395019531,107.82054433606544,113.6490249633789,109.18103937208215
GT01-0010807-0204,24-25,84.12694985525948,90.0745871407645,101.45625943351502,94.35241038004557,111.0024463676188
GT01-0010015-1304,24-25,117.91475568498883,107.19185965401785,99.48859181412419,109.74375864664714,130.4904630007283
GT01-0010004-5001,24-25,64.54076167515345,93.9517102922712,98.93447726972911,94.12371215820312,110.51170047667955
GT01-0010594-2001,24-25,99.42755889892577,123.88002668108257,109.65173779597905,116.066672261556,119.2321986817599
GT01-0010056-0202,24-25,115.64857700892857,87.92874036516461,104.43277623583319,100.04930826822917,86.24456729226308
GT01-0010648-0309,24-25,102.5934622628348,90.86638641357422,93.13340390994661,109.8201883951823,101.66301690872916
GT01-0010127-0602,24-25,110.46520887102399,103.20598493303571,118.41647396535565,121.37955678304037,106.01272989413862
GT01-0010283-0604,24-25,105.68591308593749,90.86320168631417,106.96393296731674,119.73138631184895,98.08880619057679
GT01-0010558-0801,24-25,102.66132354736327,121.12197440011161,111.15296179343495,104.46782073974609,121.90930838531666
GT01-0010056-1002,24-25,113.79068429129464,119.68416813441685,137.09283463029882,135.01954752604166,121.54444443567454
GT01-0010648-0307,24-25,98.19385964529853,84.31051744733537,90.73912155331395,105.23341573079428,102.52562617581656
GT01-0010014-0103,24-25,117.44495609828405,112.58554622105189,131.4527112556348,115.81737060546875,123.55727804127052
GT01-0010149-0102,24-25,106.68254743303571,89.70740618024553,108.69269272417992,106.50780385335287,112.66178278403999
GT01-0010648-0301,24-25,93.1152845110212,85.5923603602818,90.18662780410523,106.02305399576822,99.05096905137344
GT01-0010567-0205,24-25,109.8097959245954,113.82175227573939,109.12832695560499,107.96221567789713,99.38225155281222
GT01-0010056-0901,24-25,111.72655705043248,109.8270492553711,119.21631203977844,109.76239369710287,105.47194965649727
GT01-0010653-0201,24-25,104.8756103515625,99.24473244803292,101.35414350716044,104.1964614868164,92.51460625867607
GT01-0010594-0201,24-25,123.7772696358817,124.09448460170199,115.26038203947141,120.37308756510417,124.51547692341171
GT01-0010110-0901,24-25,106.50595637730189,118.51659720284599,114.04770824894428,104.04906158447267,100.82442687254333
GT01-0010807-0403,24-25,97.21590968540735,108.73696899414062,104.30410327241006,96.69246368408201,99.58286655355475
GT01-0010715-0401,24-25,106.56238664899553,123.00340815952845,126.14969563720537,112.62783966064453,115.68221305981879
GT01-0010136-0201,24-25,121.47014617919922,105.30719866071428,122.8143918680771,112.73773651123048,121.84954463743303
GT01-0010567-0202,24-25,116.77080971854075,111.18545096261161,111.10197676844794,115.99454447428386,99.44528943544192
GT01-0010567-0105,24-25,116.9264951433454,113.29303741455078,110.73645743476143,118.42188975016276,99.21586326699503
GT01-0010056-0701,24-25,116.06427001953125,105.88075474330357,111.89917344854258,98.06480712890624,102.85550526618526
GT01-0010205-0201,24-25,79.01010567801339,89.8199234008789,94.84170098716262,94.38591766357422,88.83455091476041
GT01-0010911-3703,24-25,107.6174599783761,101.72663661411829,106.03269678895843,111.46659393310547,118.64321423728299
GT01-0010006-0401,24-25,104.87112753731863,100.37460436139787,115.77286991022692,102.22261861165363,107.32300539612838
GT01-0010136-0401,24-25,110.67426409040178,101.63337053571428,120.35442137093028,111.07104797363282,114.05535502923838
GT01-0010594-1001,24-25,104.55318123953681,124.81018284388949,111.67594763190014,121.02160288492838,123.69917272444341
GT01-0010575-0501,24-25,86.11503601074217,88.65871538434709,86.49554772042603,92.89795277913412,89.38893950557569
GT01-0010640-0102,24-25,120.18685804094585,125.02766745431083,131.19374718458647,130.20430857340494,131.35508786947975
GT01-0010059-0203,24-25,120.09271894182478,123.7771759033203,132.86448721649458,121.05622863769531,111.67933402869697
GT01-0010640-0101,24-25,119.43614196777342,134.29338945661272,129.02807250301763,132.87105967203777,122.20555428414312
GT01-0010031-0102,24-25,129.24262128557476,137.2161603655134,141.40364280935657,134.80213724772136,125.15707948155256
GT01-0010594-0801,24-25,99.30515071323939,121.5409916469029,110.02554229911014,118.73068542480468,122.9209997702622
GT01-0010015-1001,24-25,101.29950387137276,114.88020760672433,110.63895703084616,122.1976109822591,109.96070965415363
GT01-0010012-0602,24-25,106.38498905726841,105.06395612444196,105.7720204001366,105.8757339477539,109.01293426477282
GT01-0010648-0310,24-25,94.84137507847377,84.0778797694615,91.92437600590291,104.21502787272135,91.09165467057522
GT01-0010907-0301,24-25,105.39925711495536,86.74599238804407,105.82455878609048,99.25181325276694,97.34444573331885
GT01-0010019-0101,24-25,108.74898311070034,95.90307399204798,99.85940295467287,106.74282836914062,108.41212952365585
GT01-0010051-1301,24-25,136.0400194440569,113.16918400355746,123.3828259728323,118.54194895426433,103.19555310721489
GT01-0010514-0301,24-25,81.26959882463728,85.61466326032365,94.31563095991515,98.49650878906249,86.87364531843947
GT01-0010051-3804,24-25,103.82928684779576,102.56985037667411,117.39583585146069,118.42334289550782,96.36190731774117
GT01-0010123-0207,24-25,111.01285552978516,110.02809688023157,112.4253641820031,122.24947662353514,111.59778305451754
GT01-0010207-0201,24-25,112.0081569126674,109.62036568777901,124.2266166326498,131.37090454101562,108.75419617417957
GT01-0010114-0101,24-25,112.94189780099052,122.49979182652064,124.13573850822368,131.57925313313802,133.71338295164446
GT01-0010051-2703,24-25,119.92530931745256,93.48948669433594,120.2541596329719,113.05576578776042,110.47174964681405
GT01-0010651-1105,24-25,99.347293308803,81.49512263706751,92.92074290202008,81.93719228108725,88.09587647980914
GT01-0010221-0301,24-25,105.336546761649,123.50439453125,139.02548257863924,126.75281168619792,119.91784473140241
GT01-0010558-1401,24-25,118.50097111293246,119.96501922607422,109.67310730965521,109.94421284993489,118.43850913780555
GT01-0010007-0101,24-25,99.74126325334821,68.62870134626115,112.34390945999081,100.27800954182943,103.55371970728415
GT01-0010144-0409,24-25,85.47071729387557,86.3232203892299,101.78619735319556,110.97033843994141,96.11143041717057
GT01-0010596-0101,24-25,81.47142791748045,83.14950016566685,93.52326480796978,94.88942667643228,95.40196407093187
GT01-0010797-0101,24-25,102.32151249476841,103.59177943638392,107.14890357107181,107.62636311848958,108.44951822840342
GT01-0010056-0703,24-25,101.19363839285714,89.8652114868164,113.25518002094924,96.73045043945312,90.3948790405803
GT01-0010051-3705,24-25,114.38228825160434,95.06511252267019,114.33313528401834,114.85299072265626,93.85407074536188
GT01-0010113-0402,24-25,113.06732068743024,124.17098890032085,124.81532225089934,140.91795450846354,128.25478189630883
GT01-0010594-1101,24-25,112.75684356689452,116.13983481270927,105.04188747209034,119.15757802327474,118.63224536500833
GT01-0010114-0203,24-25,122.82836151123047,115.10218593052454,132.92084015038074,139.92371724446613,126.78001808062776
GT01-0010008-1602,24-25,113.6096714564732,121.48211887904574,116.06321533050848,113.06451059977215,111.43246222841954
GT01-0010109-0501,24-25,106.11698804582868,121.55938502720423,124.6270229577949,124.88354237874348,115.40770817224522
GT01-0010059-0302,24-25,108.54839869907924,135.32112775530135,136.33893037000973,127.24227345784506,107.1681724068569
